dataset_id,dataset_name,source_url,download_type,local_metadata,refresh_note,analysis_role
OA-22299,"수도권 생활이동 (연령별, 출발-도착지 기준)-내국인 목적별",https://data.seoul.go.kr/dataList/OA-22299/F/1/datasetView.do,file_download,OA-22299_capital_living_migration_age_od_purpose_page.html,"daily files; page observed through 2026-03-31","primary OD dataset for 2030 purpose-based mobility"
OA-22298,"수도권 생활이동 (성 연령별, 도착지 기준)-내국인",https://data.seoul.go.kr/dataList/OA-22298/F/1/datasetView.do,file_download,,"monthly files; 20s/30s/40s/50s separated by sex","separated age-band destination analysis"
OA-22658,"수도권 생활이동 (연령대별 출도착 행정동별 수단 데이터)-내국인",https://data.seoul.go.kr/dataList/OA-22658/F/1/datasetView.do,file_download,capital_region_living_migration_landing.html,"related dataset; not downloaded yet","optional mode split for transport-mode analysis"
OA-12914,"서울시 지하철호선별 역별 승하차 인원 정보",https://data.seoul.go.kr/dataList/OA-12914/S/1/datasetView.do,file_download,OA-12914_subway_page.html,"daily source, monthly files; latest archived file 2026-04","station-area traffic trend"
OA-12913,"서울시 버스노선별 정류장별 시간대별 승하차 인원 정보",https://data.seoul.go.kr/dataList/OA-12913/S/1/datasetView.do,file_download,OA-12913_bus_page.html,"monthly files; latest archived file 2026-04","hourly stop-level access and activity peaks"
OA-22160,"서울시 상권분석서비스(영역-행정동)",https://data.seoul.go.kr/dataList/OA-22160/S/1/datasetView.do,file_download,OA-22160_commercial_area_admin_dong_page.html,"single shapefile ZIP archived","administrative-dong code/name mapping and polygon boundary reference"
OA-22266,"행정동단위 10개 관심집단수",https://data.seoul.go.kr/dataList/OA-22266/F/1/datasetView.do,file_download,OA-22266_citizen_living_interest_groups_page.html,"monthly xlsx; latest archived file 2025-12","2030 single-household residential dominance adjustment"
OA-22175,"서울시 상권분석서비스 추정매출-행정동",https://data.seoul.go.kr/dataList/OA-22175/A/1/datasetView.do,file_download,,"current script uses seq=6 for 2024 file","commercial potential score sales layer"
OA-14991,"서울 생활인구 내국인 행정동별 시간대별",https://data.seoul.go.kr/dataList/OA-14991/A/1/datasetView.do,file_download,,"current script uses seq=2604 for 2026-04 file","daytime influx ratio layer"
OA-11677,"서울시 행정동 경계",https://data.seoul.go.kr/dataList/OA-11677/S/1/datasetView.do,file_download,,"alternative sources: NSDI or SGIS","administrative-dong boundary for spatial joins"
external_land_use,"도시계획 용도지역지구도","VWORLD / 서울시 도시공간정보서비스 / 국가공간정보포털",file_download,,"manual source selection required","land-use ratio layer"
external_bjdong_mapping,"행정동-법정동 코드 매핑","행정안전부 행정동 코드 / 통계청 법정동 코드 / data.go.kr / SGIS",manual_csv,,"must be converted to admdong_cd,bjdong_cd,bjdong_nm","official bjdong aggregation mapping"
landing_seoul_citizen_living,"서울 시민생활 데이터 안내",https://data.seoul.go.kr/dataVisual/seoul/seoulLiving.do,html,seoul_citizen_living_data_landing.html,"landing page","definitions for citizen-living and single-household data"
landing_capital_region_living_migration,"수도권 생활이동 안내",https://data.seoul.go.kr/dataVisual/seoul/capitalRegionLivingMigration.do,html,capital_region_living_migration_landing.html,"landing page","dataset descriptions and caveats"
landing_seoul_living_migration,"서울 생활이동 안내",https://data.seoul.go.kr/dataVisual/seoul/seoulLivingMigration.do,html,seoul_living_migration_landing.html,"landing page","legacy Seoul living-migration definitions and caveats"
