rank_group,rank,d_gu_name,d_admdong_name,residential_filter,candidate_type,visit_pattern_type,commercial_potential_score,adjusted_mobility_score,summary,caution
상위,1,용산구,이태원1동,혼재형 (상권+거주),야간 소비형,목적 방문형,3.4262204687303015,2.9262204687303015,용산구 이태원1동은 야간 소비형 후보입니다. 저녁 시간대 2030 도착 비중이 높음. 주말 방문 비중이 상대적으로 높음. 전체 이동 중 2030 비중이 높음.,거주성 신호도 함께 강해 소비·점포 데이터로 추가 확인 필요. 2030 1인가구 비율이 높아 자취/생활권 효과가 섞일 수 있음.
상위,2,강동구,천호3동,방문성 검토,야간 소비형,목적 방문형,3.1633090987007613,2.6633090987007613,강동구 천호3동은 야간 소비형 후보입니다. 출발지 다양성이 높아 광역 유입 신호가 강함. 저녁 시간대 2030 도착 비중이 높음. 주말 방문 비중이 상대적으로 높음.,현재 이동 데이터 기준의 1차 후보이며 매출·용도지역 결합 시 재평가 필요.
상위,3,송파구,방이2동,혼재형 (상권+거주),광역 목적지형,목적 방문형,2.913192441511054,2.413192441511054,송파구 방이2동은 광역 목적지형 후보입니다. 출발지 다양성이 높아 광역 유입 신호가 강함. 주말 방문 비중이 상대적으로 높음. 전체 이동 중 2030 비중이 높음.,거주성 신호도 함께 강해 소비·점포 데이터로 추가 확인 필요. 2030 1인가구 비율이 높아 자취/생활권 효과가 섞일 수 있음.
상위,4,마포구,서강동,혼재형 (상권+거주),관찰 필요,생활 밀착형,2.830087203868864,2.830087203868864,마포구 서강동은 관찰 필요 후보입니다. 전체 이동 중 2030 비중이 높음.,거주성 신호도 함께 강해 소비·점포 데이터로 추가 확인 필요.
상위,5,강서구,화곡6동,방문성 검토,야간 소비형,목적 방문형,2.786359151712812,2.286359151712812,강서구 화곡6동은 야간 소비형 후보입니다. 저녁 시간대 2030 도착 비중이 높음. 주말 방문 비중이 상대적으로 높음.,현재 이동 데이터 기준의 1차 후보이며 매출·용도지역 결합 시 재평가 필요.
상위,6,동작구,노량진1동,혼재형 (상권+거주),관찰 필요,불명확,2.7113884583078307,2.7113884583078307,동작구 노량진1동은 관찰 필요 후보입니다. 출발지 다양성이 높아 광역 유입 신호가 강함. 주말 방문 비중이 상대적으로 높음. 전체 이동 중 2030 비중이 높음.,거주성 신호도 함께 강해 소비·점포 데이터로 추가 확인 필요.
상위,7,강서구,등촌2동,방문성 검토,관찰 필요,목적 방문형,2.6674614732800945,2.1674614732800945,강서구 등촌2동은 관찰 필요 후보입니다. 저녁 시간대 2030 도착 비중이 높음. 주말 방문 비중이 상대적으로 높음.,현재 이동 데이터 기준의 1차 후보이며 매출·용도지역 결합 시 재평가 필요.
상위,8,용산구,원효로1동,방문성 검토,관찰 필요,생활 밀착형,2.662497137054987,2.662497137054987,용산구 원효로1동은 관찰 필요 후보입니다. 전체 이동 중 2030 비중이 높음.,현재 이동 데이터 기준의 1차 후보이며 매출·용도지역 결합 시 재평가 필요.
상위,9,성동구,성수2가3동,방문성 검토,광역 목적지형,불명확,2.650809282933825,2.650809282933825,성동구 성수2가3동은 광역 목적지형 후보입니다. 출발지 다양성이 높아 광역 유입 신호가 강함. 전체 이동 중 2030 비중이 높음.,현재 이동 데이터 기준의 1차 후보이며 매출·용도지역 결합 시 재평가 필요.
상위,10,송파구,잠실6동,방문성 검토,광역 목적지형,불명확,2.639383018141251,2.639383018141251,송파구 잠실6동은 광역 목적지형 후보입니다. 출발지 다양성이 높아 광역 유입 신호가 강함. 주말 방문 비중이 상대적으로 높음. 전체 이동 중 2030 비중이 높음.,현재 이동 데이터 기준의 1차 후보이며 매출·용도지역 결합 시 재평가 필요.
상위,11,서초구,서초4동,방문성 검토,광역 목적지형,불명확,2.6277445928181535,2.6277445928181535,서초구 서초4동은 광역 목적지형 후보입니다. 출발지 다양성이 높아 광역 유입 신호가 강함. 전체 이동 중 2030 비중이 높음.,현재 이동 데이터 기준의 1차 후보이며 매출·용도지역 결합 시 재평가 필요.
상위,12,영등포구,여의동,방문성 검토,광역 목적지형,생활 밀착형,2.6197263947081266,2.6197263947081266,영등포구 여의동은 광역 목적지형 후보입니다. 출발지 다양성이 높아 광역 유입 신호가 강함. 전체 이동 중 2030 비중이 높음.,현재 이동 데이터 기준의 1차 후보이며 매출·용도지역 결합 시 재평가 필요.
상위,13,마포구,합정동,혼재형 (상권+거주),관찰 필요,불명확,2.5596485792991306,2.5596485792991306,마포구 합정동은 관찰 필요 후보입니다. 주말 방문 비중이 상대적으로 높음. 전체 이동 중 2030 비중이 높음.,거주성 신호도 함께 강해 소비·점포 데이터로 추가 확인 필요. 2030 1인가구 비율이 높아 자취/생활권 효과가 섞일 수 있음.
상위,14,마포구,망원2동,방문성 검토,관찰 필요,목적 방문형,2.4650122049479326,1.9650122049479326,마포구 망원2동은 관찰 필요 후보입니다. 주말 방문 비중이 상대적으로 높음.,현재 이동 데이터 기준의 1차 후보이며 매출·용도지역 결합 시 재평가 필요.
상위,15,강서구,화곡본동,방문성 검토,야간 소비형,목적 방문형,2.4636576220078927,1.9636576220078927,강서구 화곡본동은 야간 소비형 후보입니다. 저녁 시간대 2030 도착 비중이 높음. 주말 방문 비중이 상대적으로 높음.,현재 이동 데이터 기준의 1차 후보이며 매출·용도지역 결합 시 재평가 필요.
상위,16,영등포구,문래동,방문성 검토,광역 목적지형,불명확,2.3873359625428856,2.3873359625428856,영등포구 문래동은 광역 목적지형 후보입니다. 출발지 다양성이 높아 광역 유입 신호가 강함. 전체 이동 중 2030 비중이 높음.,현재 이동 데이터 기준의 1차 후보이며 매출·용도지역 결합 시 재평가 필요.
상위,17,강남구,삼성1동,방문성 검토,광역 목적지형,생활 밀착형,2.386124689739181,2.386124689739181,강남구 삼성1동은 광역 목적지형 후보입니다. 출발지 다양성이 높아 광역 유입 신호가 강함. 전체 이동 중 2030 비중이 높음.,현재 이동 데이터 기준의 1차 후보이며 매출·용도지역 결합 시 재평가 필요.
상위,18,은평구,갈현1동,방문성 검토,관찰 필요,목적 방문형,2.3713576782202823,1.8713576782202823,은평구 갈현1동은 관찰 필요 후보입니다. 주말 방문 비중이 상대적으로 높음.,현재 이동 데이터 기준의 1차 후보이며 매출·용도지역 결합 시 재평가 필요.
상위,19,영등포구,영등포본동,방문성 검토,관찰 필요,목적 방문형,2.354546160117557,1.854546160117557,영등포구 영등포본동은 관찰 필요 후보입니다. 주말 방문 비중이 상대적으로 높음.,현재 이동 데이터 기준의 1차 후보이며 매출·용도지역 결합 시 재평가 필요.
상위,20,광진구,자양4동,방문성 검토,광역 목적지형,불명확,2.3452223914785844,2.3452223914785844,광진구 자양4동은 광역 목적지형 후보입니다. 출발지 다양성이 높아 광역 유입 신호가 강함. 주말 방문 비중이 상대적으로 높음. 전체 이동 중 2030 비중이 높음.,현재 이동 데이터 기준의 1차 후보이며 매출·용도지역 결합 시 재평가 필요.
상위,21,성동구,왕십리도선동,방문성 검토,관찰 필요,생활 밀착형,2.3405637776242934,2.3405637776242934,성동구 왕십리도선동은 관찰 필요 후보입니다. 출발지 다양성이 높아 광역 유입 신호가 강함.,현재 이동 데이터 기준의 1차 후보이며 매출·용도지역 결합 시 재평가 필요.
상위,22,성동구,행당1동,방문성 검토,관찰 필요,생활 밀착형,2.33768884908723,2.33768884908723,성동구 행당1동은 관찰 필요 후보입니다. 출발지 다양성이 높아 광역 유입 신호가 강함. 전체 이동 중 2030 비중이 높음.,현재 이동 데이터 기준의 1차 후보이며 매출·용도지역 결합 시 재평가 필요.
상위,23,광진구,중곡1동,방문성 검토,소규모 2030 집중형,목적 방문형,2.3226748206192074,1.8226748206192072,광진구 중곡1동은 소규모 2030 집중형 후보입니다. 주말 방문 비중이 상대적으로 높음. 전체 이동 중 2030 비중이 높음.,현재 이동 데이터 기준의 1차 후보이며 매출·용도지역 결합 시 재평가 필요.
상위,24,성동구,성수1가2동,혼재형 (상권+거주),광역 목적지형,생활 밀착형,2.3196876037185947,2.3196876037185947,성동구 성수1가2동은 광역 목적지형 후보입니다. 출발지 다양성이 높아 광역 유입 신호가 강함. 전체 이동 중 2030 비중이 높음.,거주성 신호도 함께 강해 소비·점포 데이터로 추가 확인 필요. 2030 1인가구 비율이 높아 자취/생활권 효과가 섞일 수 있음.
상위,25,강서구,염창동,방문성 검토,관찰 필요,불명확,2.2851764304548348,2.2851764304548348,강서구 염창동은 관찰 필요 후보입니다. 보정 이동 점수 기준 상위권이나 세부 패턴은 추가 확인 필요.,현재 이동 데이터 기준의 1차 후보이며 매출·용도지역 결합 시 재평가 필요.
상위,26,동대문구,휘경1동,혼재형 (상권+거주),야간 소비형,목적 방문형,2.276941742793587,1.776941742793587,동대문구 휘경1동은 야간 소비형 후보입니다. 저녁 시간대 2030 도착 비중이 높음. 주말 방문 비중이 상대적으로 높음. 전체 이동 중 2030 비중이 높음.,거주성 신호도 함께 강해 소비·점포 데이터로 추가 확인 필요. 2030 1인가구 비율이 높아 자취/생활권 효과가 섞일 수 있음.
상위,27,강남구,압구정동,방문성 검토,광역 목적지형,불명확,2.187542352803131,2.187542352803131,강남구 압구정동은 광역 목적지형 후보입니다. 출발지 다양성이 높아 광역 유입 신호가 강함. 주말 방문 비중이 상대적으로 높음. 전체 이동 중 2030 비중이 높음.,현재 이동 데이터 기준의 1차 후보이며 매출·용도지역 결합 시 재평가 필요.
상위,28,구로구,개봉2동,방문성 검토,관찰 필요,목적 방문형,2.1645494929436904,1.6645494929436906,구로구 개봉2동은 관찰 필요 후보입니다. 저녁 시간대 2030 도착 비중이 높음. 주말 방문 비중이 상대적으로 높음.,현재 이동 데이터 기준의 1차 후보이며 매출·용도지역 결합 시 재평가 필요.
상위,29,용산구,용산2가동,혼재형 (상권+거주),소규모 2030 집중형,불명확,2.155667665265624,2.155667665265624,용산구 용산2가동은 소규모 2030 집중형 후보입니다. 주말 방문 비중이 상대적으로 높음. 전체 이동 중 2030 비중이 높음.,거주성 신호도 함께 강해 소비·점포 데이터로 추가 확인 필요. 2030 1인가구 비율이 높아 자취/생활권 효과가 섞일 수 있음.
상위,30,송파구,송파1동,혼재형 (상권+거주),광역 목적지형,불명확,2.149018882854369,2.149018882854369,송파구 송파1동은 광역 목적지형 후보입니다. 출발지 다양성이 높아 광역 유입 신호가 강함. 주말 방문 비중이 상대적으로 높음. 전체 이동 중 2030 비중이 높음.,거주성 신호도 함께 강해 소비·점포 데이터로 추가 확인 필요. 2030 1인가구 비율이 높아 자취/생활권 효과가 섞일 수 있음.
하위,1,서초구,반포본동,방문성 검토,관찰 필요,불명확,-1.5666574972545981,-1.5666574972545981,서초구 반포본동은 관찰 필요 후보입니다. 방문성 후보군 안에서는 보정 이동 점수가 낮아 우선순위가 낮음.,현재 기준에서는 적극 후보보다 비교·제외 후보로 보는 것이 적절함.
하위,2,강남구,대치1동,방문성 검토,관찰 필요,불명확,-1.0822798889966232,-1.0822798889966232,강남구 대치1동은 관찰 필요 후보입니다. 방문성 후보군 안에서는 보정 이동 점수가 낮아 우선순위가 낮음.,현재 기준에서는 적극 후보보다 비교·제외 후보로 보는 것이 적절함.
하위,3,종로구,무악동,방문성 검토,관찰 필요,불명확,-0.7783704772309785,-0.7783704772309785,종로구 무악동은 관찰 필요 후보입니다. 주말 방문 비중이 상대적으로 높음.,현재 기준에서는 적극 후보보다 비교·제외 후보로 보는 것이 적절함.
하위,4,금천구,시흥3동,방문성 검토,관찰 필요,생활 밀착형,-0.7447112713372506,-0.7447112713372506,금천구 시흥3동은 관찰 필요 후보입니다. 방문성 후보군 안에서는 보정 이동 점수가 낮아 우선순위가 낮음.,현재 기준에서는 적극 후보보다 비교·제외 후보로 보는 것이 적절함.
하위,5,도봉구,도봉1동,방문성 검토,관찰 필요,불명확,-0.7041651821173621,-0.7041651821173621,도봉구 도봉1동은 관찰 필요 후보입니다. 주말 방문 비중이 상대적으로 높음.,현재 기준에서는 적극 후보보다 비교·제외 후보로 보는 것이 적절함.
